Title,description,Annotator,Category,Sentiment
"Cant Make This Cat Walk Backwards: John Kennedy Grills Biden Nominee Over Radical Positions On BLM, Immigration","John Kennedy grilled a judicial nominee, asking if he was lying about whether he took radical positions on Black Lives Matter and illegal immigration.",Khyati,Executive Affairs,Negative
MORGAN MURPHY: Biden Needs To Stop Asking For A Ceasefire And A Two State Solution,"In the days after Oct. 7, 2023, the U.S. instructed Israel to moderate its response - the demand made about as much sense as a screen door on a submarine.",Khyati,Foreign Policy & Relations,Negative
Maher: Biden Didnt Deliver Normalcy He Promised,"On Fridays broadcast of HBOs Real Time, host Bill Maher acknowledged that President Joe Biden didnt deliver the return to normalcy he promised when he ran in 2020, but argued that while Biden is partially responsible for this failure, partThe post Maher",Khyati,Domestic Affairs & Policy,Negative
Biden Is Sabotaging Trumps Plan To Peacefully End The Russia-Ukraine War,Biden is ratcheting up the Russia-Ukraine war on his way out the door and sabotaging Trumps efforts to secure a peace deal.,Khyati,Foreign Policy & Relations,Negative
Trump Visits Biden In The White House - And People Have Thoughts,Many people on social media remembered just how polarizing the recent election was and didnt know how to react to the mild civility.,Khyati,Personality/Character,Positive
Heres what to know about Trump and the future of student loan relief,President-elect Donald Trump has called the Biden administrations student loan relief efforts a total catastrophe.,Khyati,Domestic Affairs & Policy,Neutral
Silicon Valley investors Marc Andreessen and Ben Horowitz celebrate Trumps win as a boot off the throat,Marc Andreessen said Trumps victory was a relief from the repression he and other startup founders in the crypto space felt under Biden.,Khyati,Domestic Affairs & Policy,Neutral
Biden-Harris Policies Ignited Global Chaos: WW3 Fears Rise as 2024 Election Nears,"As the 2024 election approaches, the Biden-Harris administrations foreign policy has left the world in utter chaos and teetering on the brink of World War III - from the disastrous Afghanistan withdrawal to the Israel-Hamas war - all while Russia, China, and",Khyati,Foreign Policy & Relations,Negative
"Donald Trump And Joe Biden Meet At White House, Commit To Smooth Transition Of Power","Donald, congratulations, Biden said, greeting Trump with a handshake and adding that he looked forward to a smooth transition.",Khyati,Executive Affairs,Positive
Democrats learned the wrong lessons from the last midterms: From the Politics Desk,The biggest difference between the successes of Bill Clinton and Barack Obama and the failure of the Biden-Harris team was their midterm experiences.,Khyati,Domestic Affairs & Policy,Negative
"Netanyahus defiance of Biden-Harris Rafah invasion threats led to elimination of Sinwar, experts say","Netanyahu dismissed an international campaign to prevent Israel from seizing the Hamas bastion of Rafah in Gaza, where Israel killed Hamas leader Yahya Sinwar.",Khyati,Foreign Policy & Relations,Neutral
President Joe Biden has forgiven over $166 billion in student debt-see how much in each state,Fixes to existing forgiveness programs and a brief window under the new SAVE program allowed President Biden to forgiven $166 billion in student debt.,Khyati,Domestic Affairs & Policy,Positive
"Biden was given a film camera. The result? A new, intimate view of the White House","The creators behind the viral TikTok account @lifeonfilm.27 give film cameras to strangers all over the world. In September, they handed one to one of the most powerful men in the world.",Khyati,Personality/Character,Neutral
Biden For The First Time OKs Ukraines Use Of US-Supplied Long-Range Missiles In Russia,President Joe Biden has for the first time authorized the use of U.S.-supplied long-range missiles by Ukraine to strike inside Russia.,Khyati,Foreign Policy & Relations,Neutral
"Texas Braces for Final Biden-Era Migrant Surge, Illinois Extends Welcome Mat","Texas Governor Greg Abbott continues to apply Operation Lone Star resources to the states border with Mexico in anticipation of a final Biden-era mass migration event. On the other hand, Illinois Governor JB Pritzker vowed this week to do everything I can t",Khyati,Domestic Affairs & Policy,Negative
Harris Endorsed Transgender Operations For Prisoners In Bret Baiers Fox News Interview,The Biden-Harris administration approved the first federally funded transgender surgery for an incarcerated inmate in 2022.,Khyati,Domestic Affairs & Policy,Neutral
Biden-Harris DOJ Wants to Silence Surgeon Indicted After Blowing Whistle on Child Sex Changes,DAILY CALLER NEWS FOUNDATION-The Biden-Harris Department of Justice wants to place a gag order on the Texas surgeon indicted for blowing the whistle on a... Read MoreThe post Biden-Harris DOJ Wants to Silence Surgeon Indicted After Blowing Whistle on Child S,Khyati,Domestic Affairs & Policy,Negative
What does Bidens decision to allow Ukraine to use longer-range US weapons mean?,Ukrainian leaders have lobbied Western allies to allow them to use advanced weapons to strike key targets inside Russia.,Khyati,Foreign Policy & Relations,Neutral
White House: Biden deeply concerned about release of documents on Israels possible attack plans,Kirby said on Monday that the administration was still not certain if the classified information that became publicly disclosed was leaked or hacked.,Khyati,Foreign Policy & Relations,Neutral
Moscow warns US over allowing Ukraine to hit Russian soil with long-range weapons,Moscow is escalating its rhetoric after President Joe Biden allowed Ukraine to use U.S.-supplied long-range missiles,Khyati,Foreign Policy & Relations,Neutral
Muslims who voted for Trump upset by his pro-Israel cabinet picks,U.S. Muslim leaders who supported Republican Donald Trump to  protest against the Biden administrations support for Israels war on Gaza and attacks on...,Khyati,Executive Affairs,Negative
Politico Admits Uncommitted Movement Could Be Kamala Harriss Undoing in Michigan,"The Uncommitted movement made up of young voters, progressives, Arab Americans, and Muslims who are highly dissatisfied with the Biden-Harris administrations handling of the Israel-Hamas war could be Vice President Kamala Harriss undoing in Michigan, Poli",Khyati,Election,Neutral
"As UN ramps up pressure on Israel, lame-duck Biden is letting history repeat","The Security Council is considering a resolution demanding an unconditional Israeli ceasefire in Gaza, without any requirement for Hamas to release its remaining 101 hostages.",Khyati,Foreign Policy & Relations,Negative
Biden Just Invited World War 3 By Greenlighting Long-Range Missiles Against Russia,"By authorizing Ukraine to use America-supplied long-range weapons to attack Russia, Biden escalated the war between Russia and Ukraine.",Khyati,Foreign Policy & Relations,Negative
Harris Endorsed Prisoner Sex Changes In Bret Baiers Fox News Interview,The Biden-Harris administration approved the first federally funded transgender surgery for an incarcerated inmate in 2022.,Khyati,Domestic Affairs & Policy,Neutral
Outrageous Betrayal of Trust: Cotton Presses Biden-Harris Admin To Hold Biweekly Briefings on Explosive Leak of Classified US Intel on Israel,"Sen. Tom Cotton (R., Ark.), a senior member of the Senate Select Committee on Intelligence, is pressing the Biden-Harris administration to provide Congress with biweekly briefings on the status of its investigation into an explosive intelligence leak detailin",Khyati,Foreign Policy & Relations,Negative
Biden Administration Seeks to Cancel Billions in Ukraine Debt,State of the Union: The move is part of the push to aid Ukraine before the Trump administration takes over.The post Biden Administration Seeks to Cancel Billions in Ukraine Debt appeared first on The American Conservative.,Khyati,Foreign Policy & Relations,Negative
Damn: Charlamagne Tha God Has 1 Pressing Question For Biden On Trump,The radio host went after Biden for putting his criticism of the president-elect aside in the Oval Office.,Khyati,Personality/Character,Neutral
Biden to meet South Korean and Japanese leaders amid growing worries about North Korea,President Joe Biden is gathering South Korean President Yoon Suk Yeol and Japanese Prime Minister Shigeru Ishiba for talks,Khyati,Foreign Policy & Relations,Neutral
Biden authorizes Ukraine to use US-supplied longer range missiles for deeper strikes inside Russia,"President Joe Biden has for the first time authorized the use of U.S.-supplied long-range missiles by Ukraine to strike inside Russia, according to one U.S. official and three people familiar with the matter.",Khyati,Foreign Policy & Relations,Neutral
Judge Strikes Down Biden Program Shielding Migrant Spouses of Citizens From Deportation,The Keeping Families Together program allowed undocumented spouses and stepchildren of citizens to apply for green cards without first having to leave the country.,Khyati,Domestic Affairs & Policy,Positive
What a Trump presidency might mean for student loan forgiveness,"Several of President Bidens efforts at loan relief are in jeopardy, including a repayment plan with millions of borrowers waiting in limbo.",Khyati,Domestic Affairs & Policy,Negative
Biden begs Congress for about $100B in replenished disaster relief aid after FEMA controversies,President Biden sent a formal request to Congress for roughly $100 billion in replenished disaster relief funds to help Americans reeling from Hurricanes Helene and Milton.,Khyati,Domestic Affairs & Policy,Positive
Biden appeals to world leaders to stay in the climate fight as Trump shadows his efforts,Biden announced on Tuesday a $325 million contribution to help developing countries move away from climate-damaging fossil fuels.,Khyati,Foreign Policy & Relations,Positive
Biden lays into Trump during New Hampshire stop,"Biden joined Vermonts Independent U.S. Sen. Bernie Sanders at NHTI Community College in Concord, for an invite-only afternoon event where the president laid out his thoughts on the choice that voters face this November.",Khyati,Election,Positive
Pardon Trumps Critics Now,President Biden has a moral obligation to do what he can for patriotic Americans who have risked it all.,Khyati,Executive Affairs,Negative
Why Biden Is One of the Great One-Term Presidents,The 46th President is one of the best one-term leaders in U.S. history. But Trumps reelection hangs over everything Biden achieved.,Khyati,Election,Positive
"Political malpractice if Trump undoes climate-geared Biden projects, outgoing U.S. energy secretary says",Outgoing U.S. Energy Secretary Jennifer Granholm called for consistency in Washingtons climate policies and global role in the green transition.,Khyati,Domestic Affairs & Policy,Positive
US will allow Ukraine to use antipersonnel land mines against Russian forces,The Biden administration will allow Ukraine to use American-supplied antipersonnel land mines,Khyati,Foreign Policy & Relations,Neutral
Trumps win brings uncertainty to borrowers hoping for student loan forgiveness,"President-elect Donald Trump has not said what he would do on student loan forgiveness, leaving millions of borrowers facing uncertainty over what will happen with their payments once President Joe Biden leaves office",Khyati,Domestic Affairs & Policy,Positive
Trump Judge Just Blocked A Biden Rule That Helps Millions Of Workers,The overtime rule is one of the most far-reaching economic reforms that President Joe Biden has fought for.,Khyati,Executive Affairs,Positive
Airline CEOs and Transportation Secretary Buttigieg fight over regulations even after election,The airline industry has opposed many consumer-protections written by the Biden administration.,Khyati,Domestic Affairs & Policy,Positive
Joe Manchin May Be About to Save Democrats Before Trump Takes Office,"West Virginia Senator Joe Manchin may be putting his weight behind Democrats final push to approve Joe Bidens pending judicial nominees.Earlier this year, Manchin had pledged that he would not back any Biden-nominated judge who did not have at least one v",Khyati,Executive Affairs,Neutral
Biden Doesnt Have Long to Make a Difference in Ukraine,"The Ukrainians need the resources to fight, and time is running short.",Khyati,Foreign Policy & Relations,Positive
Trump slams Kamala Harris for wreaking havoc on Detroit - promises a stunning rebirth of the sacred city,"Trump, 78, blamed Democrats and globalist politicians - including President Biden and Vice President Kamala Harris - for Detroits decline, while making the case that his plan to impose massive tariffs on vehicles imported from Mexico will bring about a r",Khyati,Domestic Affairs & Policy,Negative
Trump makes a victors return to Washington to meet with Biden and GOP lawmakers,President-elect Donald Trump is making a victors return to Washington on Wednesday,Khyati,Executive Affairs,Neutral
Canadas digital services tax set for a reckoning with U.S.,"The fight over Canadas controversial digital services tax may escalate this week, as a deadline looms for the Biden administration to decide whether to proceed with dispute arbitration under the revised North American trade deal amid retaliation threats from",Khyati,Foreign Policy & Relations,Negative
Kamala Harris refuses to say what shed have done differently than Biden - citing VP tradition,Vice President Kamala Harris declined to answer Friday when asked for at least the fourth time how her policies would differ from President Biden.,Khyati,Election,Negative
They Praised Hamas and Defended 9/11. Now Theyre Headlining Taxpayer-Funded Groups Arab Health Summit,"A nonprofit in Dearborn, Mich., that has received $24 million in taxpayer funds under the Biden-Harris administration will host dozens of physicians, government officials, and activists at an Arab health summit next week to address health amidst conflict a",Khyati,Domestic Affairs & Policy,Negative
Donald Trump Jr. claims Biden administration is trying to start World War III ahead of fathers presidency,"The Military Industrial Complex seems to want to make sure they get World War 3 going before my father has a chance to create peace and save lives, Trump Jr. tweeted.",Khyati,Foreign Policy & Relations,Negative
Dont Give Trump Credit for the Success of the Biden Economy,President-elect Trump will likely attempt to claim credit as wages continue to recover.,Khyati,Domestic Affairs & Policy,Positive
How Kamala Harris is doing everything possible to lose pivotal Pennsylvania,"Kamala Harris and Tim Walz have a Pennsylvania problem. Harris, her team and national Democrats finally know it. But does their knowledge come too late? And can they fix it? With his disastrous debate performance in June, President Biden showed the nation he",Khyati,Election,Negative
Harris-Bidens border policy is robbing Logansport kids of an education,"In Logansport, Indiana, a town of just over 18,000, local kids are being neglected as teachers attention is zapped by a flood of non-English-speaking migrant students.",Khyati,Domestic Affairs & Policy,Negative
Biden and Trump Prepare for the Most Cringe Meeting in Politics,There are few meetings presidents dread more than the Oval Office photo-op with the person whos going to replace him.,Khyati,Election,Neutral
US says it intends to shore up support for Ukraine until Trump takes office,U.S. Secretary of State Antony Blinken says the Biden administration intends to bolster its military support to Ukraine,Khyati,Foreign Policy & Relations,Neutral
Bidens failure to deliver this campaign promise might have cost Democrats,"President Joe Biden achieved a lot of his goals, but his failure to expand the social safety net might have mattered more in the end.",Khyati,Election,Negative
"Pelosi Says Harris Wouldve Won Open Primary, Beaten Trump If Biden Stepped Down Sooner",The former House Speaker also seemed to reject any analysis blaming Democrats for their election loss on a failure to win over working families.,Khyati,Election,Negative
"Lame move from a lame duck, grim wages of Joes weakness and other commentary","As a one-term president, Joe Biden appears eager to do unwise things, such as apparently pushing Britain to cede the Chagos Islands to Mauritius, grumbles John Bolton at The Wall Street Journal.",Khyati,Foreign Policy & Relations,Negative
US top climate negotiator: We wont revert back as Trump prepares to take over,"At the U.N. climate talks, U.S. Climate Adviser John Podesta said that Trump will likely pull America out of the landmark Paris Agreement and try to roll back many of the Biden Administrations signature climate moves, including the 2022 Inflation Redu...",Khyati,Foreign Policy & Relations,Positive
Judge Strikes Down Biden Program Shielding Immigrant Spouses From Deportation,A Trump-appointed federal judge has struck down a Biden administration policy that aimed to ease a path to citizenship for some undocumented immigrants.,Khyati,Executive Affairs,Positive
Time For A Merger Policy Reset,Biden antitrust enforcers sought to discourage all mergers. The new Trump Administration should revive a prior approach that condemns only anticompetitive tie-ups.,Khyati,Executive Affairs,Negative
"In Logansport, Indiana, kids are being pushed out of schools after migrants swelled countys population by 30%: Everybody else is falling behind","Residents blame Vice President Kamala Harris and President Biden. Do something. Our community cannot withstand this many people being here, Candice Espinoza, 32, a local photographer, told The Post",Khyati,Domestic Affairs & Policy,Negative
Biden authorizes Ukraines use of US-supplied long-range missiles for deeper strikes inside Russia,"President Joe Biden has for the first time authorized the use of U.S.-supplied long-range missiles by Ukraine to strike inside Russia, according to one U.S. official and three people familiar with the matter.",Khyati,Foreign Policy & Relations,Neutral
Pelosi blames Harris loss on Bidens late exit and no open Democratic primary,She also blasted Bernie Sanders in an interview with The New York Times.,Khyati,Election,Negative
"Biden and Trump will meet in the Oval Office on Wednesday, the White House says",President Joe Biden and President-elect Donald Trump will meet Wednesday in the Oval Office,Khyati,Executive Affairs,Neutral
Why Trump was the candidate for educational freedom,"In July, just a few days after President Joe Biden ended his re-election bid, the American Federation of Teachers (AFT) President Randi Weingarten boasted that the union under her charge was the first to endorse Kamala Harris for president. Weingarten pledged",Khyati,Election,Neutral
Biden Admin Admits That 30-Day Deadline on Israel Was Totally Made Up,"Last month, the Biden administration gave Israel a 30-day deadline to increase aid flow to Gaza, or the U.S. would potentially cut military assistance. On Tuesday, that deadline came and went without Israel facing any consequences.Aid groups including Oxfam",Khyati,Foreign Policy & Relations,Negative
Biden to host Israels president at the White House amid peace push,President Joe Biden will host Israeli President Isaac Herzog at the White House on Tuesday as the outgoing administration seeks cease-fire progress in Gaza and Lebanon.,Khyati,Foreign Policy & Relations,Neutral
"Biden, Xi reiterate importance of managing US-China rivalry","LIMA, PERU - President Joe Biden and Chinese President Xi Jinping reiterated the importance of maintaining dialogue to manage the U.S.-China rivalry, at a summit held Saturday on the sidelines of the Asia-Pacific Economic Cooperation Forum in Lima, Peru.Th",Khyati,Foreign Policy & Relations,Neutral
Biden-Harris Pentagon Sends Another $400 Million to Ukraine for Immediate Needs,Defense Secretary Lloyd Austin on Monday during a surprise visit to Ukraine announced $400 million in U.S. military aid to Kiev -- the second such aid package within one week.The post Biden-Harris Pentagon Sends Another $400 Million to Ukraine for Immediate,Khyati,Foreign Policy & Relations,Positive
Trump crushes House-passed press shield bill after Biden didnt take stance for nearly a year: REPUBLICANS MUST KILL THIS BILL!,"President-elect Donald Trump effectively killed a House-passed bipartisan press shield bill, posting on Truth Social Wednesday a video clip that argued it could benefit his critics once he returns to office.",Khyati,Executive Affairs,Negative
Trumps win brings uncertainty to borrowers hoping for student loan forgiveness,"Savannah Britt owes about $27,000 on loans she took out to attend college at Rutgers University, a debt she was hoping to see reduced by President Joe Bidens student loan forgiveness efforts.",Khyati,Domestic Affairs & Policy,Positive
"CNN pundit downplays Big Tech censorship of Hunter Biden laptop in 2020, calls government collusion nonsense",CNNs Kara Swisher went viral for comments she made downplaying Big Techs suppression of the Hunter Biden laptop story during the 2020 presidential election.,Khyati,Personality/Character,Negative
"Bidens decision on Ukraine long-range missiles a big step towards WWIII, Russian lawmaker claims","President Biden has taken a very big step towards starting World War III after his administration reportedly gave Ukraine permission to deploy US-made long-range missiles to attack targets deep in Russia, top Russian lawmakers claimed.",Khyati,Foreign Policy & Relations,Negative
"Biden, Trump to meet in Oval Office on Wednesday",President-elect Donald Trump will meet with President Joe Biden on Wednesday after Trump defeated Kamala Harris in the race for U.S. president.,Khyati,Executive Affairs,Neutral
Biden Gets Ready To Exit Political Stage As Global Fires Rage - Novembers Victor Will Have To Put Them Out,President Joe Bidens legacy on national security and foreign policy will leave significant problems for a future Donald Trump or Kamala Harris administration.,Khyati,Election,Negative
Anti-abortion advocates press Trump for more restrictions as abortion pill sales spike,Anti-abortion advocates say they will quickly dismantle some of President Joe Bidens abortion policies once President-elect Donald Trump makes his return to the White House next year,Khyati,Domestic Affairs & Policy,Negative
Pelosi hops on the Biden blame game and says there shouldve been an open primary,"In an interview with the New York Times, Rep. Nancy Pelosi said Bidens actions made it almost impossible to have a primary.",Khyati,Election,Negative
California Gov. Gavin Newsom will spend part of week in DC as he tries to Trump-proof state policies,California Gov. Gavin Newsom is heading to Washington this week to meet with the Biden administration,Khyati,Executive Affairs,Positive
Biden-Harris Admin Handed Billions To Coalition Partnering With Stacey Abrams Org Dedicated To Turning Out Voters,The Biden-Harris admin doled out billions of taxpayer dollars to a left-wing nonprofit linked to a voter mobilization initiative founded by Stacey Abrams.,Khyati,Domestic Affairs & Policy,Negative
Trumps tariffs could tank the economy. Will the Supreme Court stop them?,"After winning the 2024 election in part due to high inflation early in President Joe Bidens term, President-elect Donald Trump wants to enact policies that would lead to the very same kind of inflation that doomed Democrats. Though Trump inherits a strong ec",Khyati,Domestic Affairs & Policy,Negative
Biden highlights peaceful transfer of power as he hosts president-elect...,President-elect Donald Trump returned to Washington to meet with the sitting president as well as a Congress that is expected to cede him even more power...,Khyati,Personality/Character,Positive
The Cost-of-Living Crisis Explains Everything,The economy under Biden looked good but felt bad.,Khyati,Domestic Affairs & Policy,Neutral
Democrats Make Last-Minute Push To Confirm Controversial Biden Judicial Nominees During Lame Duck Session,Senate Democrats are pushing to confirm more than two dozen of President Joe Bidens remaining judicial nominees.,Khyati,Executive Affairs,Negative
Anti-Semitic attack on Jewish soccer fans in Amsterdam sheds light on Europes open-border catastrophe,"Like the United States under the Biden regime, Europe has opened its borders, allowing floods of anti-Semitic jihadists to infiltrate the cities and terrorize its Jewish civilians.Mark Levin calls this mass migration the second Muslim crusades. However, h",Khyati,Domestic Affairs & Policy,Negative
Breitbart Business Digest: How Bidenomics Triggered the Inflation Crisis and Cost Democrats Everything,"Now that the election is safely in the past, we are finally getting some clarity about the economically damaging inflation that crippled Bidens presidency and swept the legs out from Kamala Harriss attempt to become the 47 president.The post Breitbart Busi",Khyati,Domestic Affairs & Policy,Negative
Biden authorizes Ukraine to use US-supplied long-range missiles for deeper strikes inside Russia,"President Joe Biden has for the first time authorized the use of U.S.-supplied long-range missiles by Ukraine to strike inside Russia, according to one U.S. official and three people familiar with the matter.",Khyati,Foreign Policy & Relations,Neutral
Biden makes first comment on Ukraine since OKing strikes far inside Russia - as Moscow rep sits across table at G20,"We all have to work to end the conflicts and crises, President Biden said in his first public comments on the Ukraine-Russia war since authorizing the use of American rockets far inside Russia.",Khyati,Foreign Policy & Relations,Neutral
"Netanyahus decision to ignore Biden, Harris warnings not to invade Rafah responsible for Sinwars death: experts",Israeli Prime Minister Benjamin Netanyahus decision to ignore dire warnings from President Biden and Vice President Harris not to conquer the last major stronghold of Hamas terrorists in Rafah proved to be correct.,Khyati,Foreign Policy & Relations,Negative
"Democrat Sen. Bob Casey bucks Biden on fracking, touts support for Trumps China tariffs in new ad",The three-term Democrat faces a tough re-election battle against Republican Dave McCormick.,Khyati,Domestic Affairs & Policy,Negative
Harris appears with Biden for first time since election loss,"U.S. President Joe Biden laid a wreath Monday to honor the nations fallen soldiers on Veterans Day, an event marking his first appearance with Vice President Kamala Harris since her election defeat last week.The ceremony, at historic Arlington National Ce",Khyati,Election,Neutral
Trumps Win Sets Off Race to Complete Chip Subsidy Deals,"(Bloomberg) -- The Biden administration is racing to complete Chips Act agreements with companies like Intel Corp. and Samsung Electronics Co., aiming to...",Khyati,Domestic Affairs & Policy,Neutral
John Fetterman Slams Nancy Pelosi As Self-Appointed Godmother Of Democratic Party,"The Pennsylvania senator says Pelosi embraced her image as his partys godmother and enforcer, only to blame President Joe Biden for Trumps win.",Khyati,Election,Neutral
Kamala Harris cant answer for her border disaster because there ARE no good answers,"Dont blame Kamala Harris failure to address her administrations border disaster border on her poor communication skills - fact is, there just arent any good answers, because she and President Joe Biden created the disaster on purpose.",Khyati,Domestic Affairs & Policy,Negative
Break Up Family Relationships: Biden-Harris Admin Pushes Judges To Bring Gender Ideology Into The Courtroom,Parents increasingly find family court judges have fully bought into the agenda of Biden-Harris administration backed trangender activists.,Khyati,Executive Affairs,Negative
